license_number,business_name,license_group,business_licenses,license_type,physical_address,county,expiration_date,tier,canopy_type,indoor_canopy_sqft,outdoor_canopy_sqft,endorsement,sos_registration_number
050-10034282CCC,The New Amsterdam,Recreational Retailer,The New Amsterdam LLC,Recreational Retailer,2201 N KILLINGSWORTH ST PORTLAND OR  97217-4442,Multnomah,2024-12-26,,,0,0,,01679198 2
050-1003433A4EA,Gram Central Station,Recreational Retailer,Serious Enterprises LLC,Recreational Retailer,6430 NE MARTIN LUTHER KING JR BLVD PORTLAND OR  97211-3032,Multnomah,2025-03-30,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10034516B89,SHANGO PREMIUM CANNABIS,Recreational Retailer,Bon Vivant LLC,Recreational Retailer,6033 NE WIN SIVERS DR STE A PORTLAND OR  97220-9052,Multnomah,2024-12-26,,,0,0,, 
050-10034717686,"Hwy 99 Cannabis, Co.",Recreational Retailer,"C&T Consulting, Inc",Recreational Retailer,"1083 HIGHWAY 99 N STE B, EUGENE OR  97402-2010",Lane,2025-10-20,,,0,0,Medical Marijuana Retailer, 
050-1003493E0C7,Club Sockeye,Recreational Retailer,"Sockeye Farms, LLC",Recreational Retailer,29970 ELLENSBURG AVE GOLD BEACH OR  97444-7808,Curry,2025-10-30,,,0,0,Medical Marijuana Retailer, 
050-1003518CE3D,Deanz Greenz,Recreational Retailer,"Bite One""s Lip LLC",Recreational Retailer,10415 NE SANDY BLVD PORTLAND OR  97220-3364,Multnomah,2024-12-27,,,0,0,, 
050-100352226E9,Deanz Greenz,Recreational Retailer,"Bite One""s Lip LLC",Recreational Retailer,5625 SE 85th Ave Unit B PORTLAND OR  97266-,Multnomah,2024-12-27,,,0,0,, 
050-10035451904,Oregrown Bend,Recreational Retailer,"Downtown Bend Flagship, Inc.",Recreational Retailer,1199 NW WALL ST BEND OR  97703-1934,Deschutes,2024-11-16,,,0,0,, 
050-1003636DAFA,Pacific Green,Recreational Retailer,Northwest Greenhouse LLC,Recreational Retailer,710 NE KILLINGSWORTH ST PORTLAND OR  97211-3859,Multnomah,2024-12-27,,,0,0,, 
050-10037199BA2,Plantae,Recreational Retailer,Plantae Health Care LLC,Recreational Retailer,"1100 SW HIGHWAY 97 STE 103, MADRAS OR  97741-9175",Jefferson,2024-12-29,,,0,0,, 
050-100374466A6,Eden,Recreational Retailer,Rose City USA LLC,Recreational Retailer,7420 NE SANDY BLVD PORTLAND OR  97213-5760,Multnomah,2024-07-09,,,0,0,, 
050-10038053342,Urban Farmacy,Recreational Retailer,Urban Farmacy LLC,Recreational Retailer,420 NE 60TH AVE PORTLAND OR  97213-3726,Multnomah,2024-12-29,,,0,0,, 
050-1003813BCA1,Positive Vibrations,Recreational Retailer,Gregory C Pierce,Recreational Retailer,3682 TREMONT ST NORTH BEND OR  97459-2857,Coos,2025-01-18,,,0,0,, 
050-1003823E63C,Sunray Cannabis,Recreational Retailer,Sunray Cannabis LLC,Recreational Retailer,1347 NW HIGHWAY 101 LINCOLN CITY OR  97367-3341,Lincoln,2025-01-08,,,0,0,, 
050-1003834AEE9,Refinery Canna Connoisseur,Recreational Retailer,The Natural Refinery LLC,Recreational Retailer,2707 NE BROADWAY ST PORTLAND OR  97232-1722,Multnomah,2024-05-04,,,0,0,, 
050-1003846F031,The CDC Dispensary,Recreational Retailer,"TCDC,LLC",Recreational Retailer,10015 SW HALL BLVD TIGARD OR  97223-8834,Washington,2025-04-03,,,0,0,, 
050-1003857B96E,"Today's Herbal Choice, Inc.",Recreational Retailer,"Today's Herbal Choice, Inc.",Recreational Retailer,31568 S HIGHWAY 213 MOLALLA OR  97038-9018,Clackamas,2024-12-31,,,0,0,, 
050-1003859B9F6,La Cannaisseur,Recreational Retailer,La Cannaisseur LLC,Recreational Retailer,11324 NW SAINT HELENS RD PORTLAND OR  97231-1037,Multnomah,2024-12-29,,,0,0,, 
050-100386665E6,MOSS CROSSING,Recreational Retailer,MC11 LLC,Recreational Retailer,2751 FRIENDLY ST EUGENE OR  97405-2254,Lane,2025-01-01,,,0,0,, 
050-10038830A67,DEFYNE PREMIUM CANNABIS,Recreational Retailer,M&M LLC,Recreational Retailer,"1775 SE TUALATIN VALLEY HWY BLDG A, HILLSBORO OR  97123-5052",Washington,2024-12-26,,,0,0,, 
050-1003884B7AC,DEFYNE PREMIUM CANNABIS,Recreational Retailer,PACIFIC GREEN LLC,Recreational Retailer,3821 PACIFIC AVE FOREST GROVE OR  97116-2223,Washington,2024-12-26,,,0,0,, 
050-10038995791,Green Room (Campus),Recreational Retailer,COPR Incorporated,Recreational Retailer,111 NW 16TH ST CORVALLIS OR  97330-5701,Benton,2024-12-28,,,0,0,, 
050-10039071885,Uplift Botanicals,Recreational Retailer,"Uplift Botanicals, LLC",Recreational Retailer,5421 NE 33RD AVE PORTLAND OR  97211-7403,Multnomah,2024-12-29,,,0,0,, 
050-100392377F1,La Mota,Recreational Retailer,La Mota Lebanon LLC,Recreational Retailer,620 S MAIN ST LEBANON OR  97355-3337,Linn,2025-02-12,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10039294D00,Zion Cannabis,Recreational Retailer,"Left Coast Canopy, LLC",Recreational Retailer,2331 SW 6TH AVE PORTLAND OR  97201-4914,Multnomah,2023-12-27,,,0,0,, 
050-1003951867F,Top Shelf Medicine,Recreational Retailer,TSM LLC,Recreational Retailer,815 NE GREENWOOD AVE BEND OR  97701-4816,Deschutes,2025-01-18,,,0,0,"Marijuana Home Delivery, Marijuana Home Delivery, Medical Marijuana Retailer, Medical Marijuana Retailer", 
050-10039622D6B,Three Kings Organics,Recreational Retailer,Three Kings Organics LLC,Recreational Retailer,224 TERMINAL AVE THE DALLES OR  97058-3503,Wasco,2025-01-29,,,0,0,Marijuana Home Delivery, 
050-1003982A725,Phresh Cannabis,Recreational Retailer,"ACNM, LLC",Recreational Retailer,2743 19TH AVE FOREST GROVE OR  97116-2622,Washington,2020-01-05,,,0,0,, 
050-10039882706,Bigfoot Bud Company,Recreational Retailer,Jomosh LLC,Recreational Retailer,109 W MAIN ST MOLALLA OR  97038-,Clackamas,2024-12-27,,,0,0,, 
050-10039904AAD,Budlandia,Recreational Retailer,Everett Holdings LLC,Recreational Retailer,8135 SE WOODWARD ST PORTLAND OR  97206-1718,Multnomah,2024-12-27,,,0,0,, 
050-1004029B8B0,"OG Collective, LLC",Recreational Retailer,"OG Collective, LLC and OG Leasing, LLC",Recreational Retailer,"1255 CROSS ST SE STE 150, SALEM OR  97302-2862",Marion,2025-03-13,,,0,0,, 
050-1004054A790,Going Green Grand Ronde,Recreational Retailer,Going green albany inc,Recreational Retailer,8675 FORT HILL RD WILLAMINA OR  97396-9736,Yamhill,2025-01-11,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1004070FB52,High Mountain Recreational,Recreational Retailer,High Mountain Retail LLC,Recreational Retailer,2722 W 2ND ST THE DALLES OR  97058-4127,Wasco,2024-11-16,,,0,0,, 
050-10040768BFD,Ocean Grown Cannabis Company LLC,Recreational Retailer,Ocean Grown Cannabis Company LLC,Recreational Retailer,580 SW TWIN OAKS CIR CORVALLIS OR  97333-1115,Benton,2025-01-29,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10040800D20,Columbia River Herbals LLC,Recreational Retailer,Columbia River Herbals LLC,Recreational Retailer,2630 W 6TH ST THE DALLES OR  97058-4168,Wasco,2025-03-08,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1004082F8AD,Lincoln City Collective,Recreational Retailer,"OG3, LLC.",Recreational Retailer,1266 SW 50TH ST LINCOLN CITY OR  97367-1310,Lincoln,2024-12-31,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10041073E5E,Jayne,Recreational Retailer,Jayne Inc.,Recreational Retailer,2145 NE MARTIN LUTHER KING JR BLVD PORTLAND OR  97212-3725,Multnomah,2024-12-28,,,0,0,,01657781-1
050-1004120449B,GREEN APPLE NW,Recreational Retailer,JIN'S INC.,Recreational Retailer,24180 SE BORGES RD # A DAMASCUS OR  97089-6590,Clackamas,2025-08-28,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10041223AB3,Canyon Cannabis,Recreational Retailer,Canyon Cannabis LLC,Recreational Retailer,415 NE SANTIAM BLVD MILL CITY OR  97360-0088,Linn,2025-03-06,,,0,0,, 
050-1004135DBFA,West,Recreational Retailer,"PPC Holdings, LLC / Daryl Bell",Recreational Retailer,2824 SW SAM JACKSON PARK RD PORTLAND OR  97201-3006,Clatsop,2025-03-02,,,0,0,, 
050-10041804D94,Portland Pot shop,Recreational Retailer,"Mazuma Merchant Services, LLC",Recreational Retailer,4730 N LOMBARD ST PORTLAND OR  97203-4534,Multnomah,2025-01-01,,,0,0,, 
050-10041989EBF,Bridge City Collective,Recreational Retailer,"Williams, LLC",Recreational Retailer,4312 N WILLIAMS AVE PORTLAND OR  97217-2952,Multnomah,2024-12-30,,,0,0,, 
050-100420301FA,Bridge City Collective,Recreational Retailer,"Grand, LLC",Recreational Retailer,215 SE GRAND AVE PORTLAND OR  97214-1154,Multnomah,2024-12-30,,,0,0,, 
050-10042166E81,Sweet Tree Farms,Recreational Retailer,Sweet Tree Farms INC,Recreational Retailer,4097 W 11TH AVE EUGENE OR  97402-5623,Lane,2025-01-05,,,0,0,, 
050-1004244CF83,Tsunami Marijuana LLC,Recreational Retailer,Tsunami Marijuana LLC,Recreational Retailer,1555 N ROOSEVELT DR SEASIDE OR  97138-7143,Clatsop,2024-04-17,,,0,0,, 
050-1004252574B,"TODAY'S HERBAL CHOICE RAINIER, LLC",Recreational Retailer,"Today's Herbal Choice Rainier, LLC",Recreational Retailer,75936 ROCKCREST ST UNIT B1 RAINIER OR  97048-2231,Columbia,2024-12-29,,,0,0,, 
050-100427434E1,Track Town Collective,Recreational Retailer,Track Town Collective LLC,Recreational Retailer,3675 FRANKLIN BLVD EUGENE OR  97403-2357,Lane,2025-02-06,,,0,0,, 
050-1004282BD55,Portland Canna Connection,Recreational Retailer,Hawthco One Corporation,Recreational Retailer,1515 SE 46TH AVE PORTLAND OR  97215-3107,Multnomah,2024-12-31,,,0,0,, 
050-10042907A13,Western Oregon Dispensary Inc,Recreational Retailer,"Western Oregon Dispensary, Inc.",Recreational Retailer,1013 N SPRINGBROOK RD NEWBERG OR  97132-2010,Yamhill,2025-01-10,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1004294B93A,Tree House Collective,Recreational Retailer,Tree House Collective LLC,Recreational Retailer,2419 NE SANDY BLVD PORTLAND OR  97232-2339,Multnomah,2024-12-31,,,0,0,, 
050-1004297C917,Solutions of the Millennium LLC,Recreational Retailer,Solutions of the Millennium LLC,Recreational Retailer,2893 OAK ST EUGENE OR  97405-3694,Lane,2024-08-24,,,0,0,, 
050-100431414A0,The Holistic Choice,Recreational Retailer,The Holistic Choice Inc.,Recreational Retailer,1045 COMMERCIAL ST SE SALEM OR  97302-4111,Marion,2025-01-12,,,0,0,, 
050-1004323E257,Little Amsterdam Wellness Center,Recreational Retailer,"LAWC West II, Inc",Recreational Retailer,7035 S MACADAM AVE PORTLAND OR  97219-2317,Multnomah,2024-12-30,,,0,0,, 
050-1004330B65D,Swed.co,Recreational Retailer,Max Consulting Group LLC,Recreational Retailer,2058 NW BURNSIDE RD GRESHAM OR  97030-3528,Multnomah,2025-02-16,,,0,0,, 
050-1004337113E,Paradise Found,Recreational Retailer,JIMO Holdings LLC,Recreational Retailer,10735 NE HALSEY ST PORTLAND OR  97220-4078,Multnomah,2025-01-22,,,0,0,, 
050-1004346113D,Mr. Nice Guy Astoria,Recreational Retailer,"Astoria Retail, LLC",Recreational Retailer,690 OLNEY AVE ASTORIA OR  97103-5538,Clatsop,2024-12-26,,,0,0,, 
050-100435382A3,Mr. Nice Guy Rockaway,Recreational Retailer,"Rockaway Retail, LLC",Recreational Retailer,656 HIGHWAY 101 S ROCKAWAY BEACH OR  97136-9658,Tillamook,2025-01-16,,,0,0,,01714594-7
050-10044175634,THC Recreation Station Salem,Recreational Retailer,"Nature Quest, LLC",Recreational Retailer,1295 OXFORD ST SE SALEM OR  97302-2838,Marion,2025-01-17,,,0,0,, 
050-10044492D86,The Grass Hut II,Recreational Retailer,The Grass Hut II,Recreational Retailer,4085 CHERRY AVE NE KEIZER OR  97303-4859,Marion,2025-01-25,,,0,0,Medical Marijuana Retailer, 
050-10044623308,Jenny's Dispensary,Recreational Retailer,"JENNY'S OF OREGON I, INC.",Recreational Retailer,932 NE 3RD ST BEND OR  97701-4650,Deschutes,2025-03-02,,,0,0,, 
050-10044860EA3,Substance,Recreational Retailer,Bloom Well Inc,Recreational Retailer,1814 NE DIVISION ST BEND OR  97701-3502,Deschutes,2024-12-29,,,0,0,, 
050-1004487C310,Substance,Recreational Retailer,Bloom Well Inc,Recreational Retailer,20365 EMPIRE AVE BEND OR  97703-5702,Deschutes,2025-04-09,,,0,0,, 
050-10044942643,Green Cross Cannabis Emporium,Recreational Retailer,"TLC Medical, Inc.",Recreational Retailer,3165 RIVER RD N KEIZER OR  97303-6001,Marion,2025-03-05,,,0,0,,1721081-1
050-10045287738,5th LMNT,Recreational Retailer,"Agricultural Resource Services, LLC",Recreational Retailer,385 SW COLUMBIA ST BEND OR  97702-1035,Deschutes,2025-01-11,,,0,0,, 
050-10045349EFC,SMOKE ON THE MOUNTAIN LLC,Recreational Retailer,SMOKE ON THE MOUNTAIN LLC,Recreational Retailer,23860 E ARRAH WANNA BLVD WELCHES OR  97067-9764,Clackamas,2025-01-30,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10045414F9E,Natural Remedies,Recreational Retailer,Green Remedies LLC,Recreational Retailer,8700 SW BARBUR CT PORTLAND OR  97219-4074,Multnomah,2025-03-01,,,0,0,, 
050-1004542CDD8,Redbarn Cannabis,Recreational Retailer,Redbarn Pharms LLC,Recreational Retailer,1069 N OLD PACIFIC HWY MYRTLE CREEK OR  97457-7465,Douglas,2025-08-27,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1004550B848,Green Gratitude,Recreational Retailer,Joseph Glover LLC,Recreational Retailer,10322 SE HOLGATE BLVD PORTLAND OR  97266-2421,Multnomah,2024-12-26,,,0,0,, 
050-1004552C21B,Otis Collective,Recreational Retailer,Otis Collective LLC,Recreational Retailer,1257 SALMON RIVER HWY OTIS OR  97368-9776,Lincoln,2025-01-04,,,0,0,, 
050-100457922B9,Oasis Cannabis,Recreational Retailer,"Dispenserve, LLC",Recreational Retailer,308 N VILLA RD NEWBERG OR  97132-1881,Yamhill,2024-02-12,,,0,0,, 
050-1004580125D,Oasis Cannabis,Recreational Retailer,"Dispenserve, LLC",Recreational Retailer,1111 S HOLLADAY DR SEASIDE OR  97138-6614,Clatsop,2024-02-08,,,0,0,, 
050-1004602AE08,West,Recreational Retailer,"PPC Holdings, LLC / Daryl Bell",Recreational Retailer,480 HIGHWAY 101 S ROCKAWAY BEACH OR  97136-,Tillamook,2025-03-02,,,0,0,, 
050-1004605A8E3,Mr. Nice Guy Corvallis,Recreational Retailer,"Corvallis Retail, LLC",Recreational Retailer,687 SW 15TH ST CORVALLIS OR  97333-4840,Benton,2025-09-11,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10046559560,Marie Janes Cannabis Connection,Recreational Retailer,ZERJAN LLC,Recreational Retailer,568 SW 3RD ST CORVALLIS OR  97333-4439,Benton,2025-03-06,,,0,0,, 
050-1004661768A,Farm Grass Table,Recreational Retailer,Premium Medicine Of Oregon LLC,Recreational Retailer,4140 WESTCLIFF DR HOOD RIVER OR  97031-7719,Hood River,2024-11-29,,,0,0,, 
050-1004664909E,Rare Earth Dispensary LLC,Recreational Retailer,Rare Earth Dispensary LLC,Recreational Retailer,2880 ELMIRA RD EUGENE OR  97402-2309,Lane,2024-12-30,,,0,0,, 
050-1004691B5CD,Highway 420,Recreational Retailer,Steven `Charles Geiger,Recreational Retailer,1803 S ROOSEVELT DR SEASIDE OR  97138-6544,Clatsop,2025-01-19,,,0,0,, 
050-1004701F805,Pur Roots,Recreational Retailer,Portland Health Center Incorporated,Recreational Retailer,5816 NE LOMBARD ST PORTLAND OR  97218-2363,Multnomah,2024-08-26,,,0,0,, 
050-1004716B1DB,Phresh Start LLC,Recreational Retailer,Phresh Start LLC,Recreational Retailer,"1623 21ST ST STE B, SPRINGFIELD OR  97477-3417",Lane,2025-02-26,,,0,0,, 
050-10047520A20,World Famous Top Shelf Cannabis,Recreational Retailer,Smart Choice Investments LLC,Recreational Retailer,"704 CHETCO AVE STE A, BROOKINGS OR  97415-2512",Curry,2025-02-26,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1004764F055,Local Herb,Recreational Retailer,Division Holistic llc,Recreational Retailer,15948 SE DIVISION ST PORTLAND OR  97236-2059,Multnomah,2024-12-31,,,0,0,, 
050-1004766AB16,Citi Zen,Recreational Retailer,Eightfold Inc.,Recreational Retailer,6305 PACIFIC AVE Cloverdale OR  97112-,Tillamook,2025-02-02,,,0,0,, 
050-10047883377,Sumpter Nugget,Recreational Retailer,"Sumpter Nugget, LLC",Recreational Retailer,"160 MILL ST STE 102, SUMPTER OR  97877",Baker,2025-01-11,,,0,0,, 
050-100479383D7,Monmouth Cannabis,Recreational Retailer,Cowgirl Cannabis LLC,Recreational Retailer,"210 PACIFIC AVE S STE A, MONMOUTH OR  97361-1578",Polk,2025-05-14,,,0,0,, 
050-1004819175D,Coastal High Ways,Recreational Retailer,Coastal High Ways LLC,Recreational Retailer,2233 BROADWAY AVE NORTH BEND OR  97459-2331,Coos,2025-02-02,,,0,0,, 
050-1004832102C,Plane Jane's,Recreational Retailer,Plane Jane's LLC,Recreational Retailer,10530 NE SIMPSON ST PORTLAND OR  97220-1220,Multnomah,2024-03-07,,,0,0,, 
050-100485158FE,"Cannabiz Experience, LLC",Recreational Retailer,Cannabiz Experience LLC,Recreational Retailer,333 N RIVERSIDE AVE MEDFORD OR  97501-5937,Jackson,2025-02-20,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10049061904,HomeGrown Remedies,Recreational Retailer,Home Grown Remedies LLC,Recreational Retailer,277 N 3RD AVE STAYTON OR  97383-1723,Marion,2025-01-04,,,0,0,, 
050-10049104CFE,The People's Wellness Center,Recreational Retailer,The People's Wellness Center Inc,Recreational Retailer,71 CENTENNIAL LOOP EUGENE OR  97401-2443,Lane,2025-01-31,,,0,0,, 
050-10049124667,Cougar Cannabis LLC,Recreational Retailer,"Cougar Cannabis, LLC",Recreational Retailer,1989 NE DIAMOND LAKE BLVD ROSEBURG OR  97470-3573,Douglas,2025-02-08,,,0,0,, 
050-10049202770,Oregon's Own,Recreational Retailer,"PaddyEugene FC, LLC",Recreational Retailer,7881 SW CAPITOL HWY PORTLAND OR  97219-2573,Multnomah,2025-05-13,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1004923B1AA,Deep Roots Cannabis,Recreational Retailer,Premier Concepts LLC,Recreational Retailer,2155 OLYMPIC ST SPRINGFIELD OR  97477-3463,Lane,2025-03-07,,,0,0,, 
050-10049684964,Central Organics,Recreational Retailer,Evergreen Organics Inc,Recreational Retailer,780 SW 4TH ST MADRAS OR  97741-1147,Jefferson,2025-01-23,,,0,0,, 
050-100502592C1,La Mota,Recreational Retailer,La Mota Sweet Home 2 LLC,Recreational Retailer,4320 HIGHWAY 20 SWEET HOME OR  97386-1242,Linn,2025-01-19,,,0,0,, 
050-10050307AF1,The Green Planet,Recreational Retailer,"The Green Planet, Inc.",Recreational Retailer,15350 SW 116TH AVE KING CITY OR  97224-2658,Washington,2025-06-20,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10050484E34,Cannabis Nation Sunriver,Recreational Retailer,Constellation Holdings LLC,Recreational Retailer,56789 LUNAR DR BEND OR  97707-2187,Deschutes,2025-06-06,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1005050D2DA,West Coast Organics,Recreational Retailer,West Coast Organics LLC,Recreational Retailer,"855 RAILROAD ST STE C, BROOKINGS OR  97415-9697",Curry,2025-01-30,,,0,0,, 
050-1005063D72C,Doctor's Orders,Recreational Retailer,Trellis Holdings OP - 3424 NE 82nd Avenue LLC,Recreational Retailer,3424 NE 82ND AVE PORTLAND OR  97220-5116,Multnomah,2025-01-10,,,0,0,"Medical Marijuana Retailer, Medical Marijuana Retailer", 
050-10050652956,SkunkRX,Recreational Retailer,SkunkRx LLC,Recreational Retailer,8979 ROGUE RIVER HWY GRANTS PASS OR  97527-4377,Josephine,2025-02-12,,,0,0,, 
050-10050834F0C,Emerald Triangle Dispensary,Recreational Retailer,Zachary Kohler,Recreational Retailer,246 E 10TH ST MEDFORD OR  97501-7212,Jackson,2025-02-02,,,0,0,, 
050-100508675B1,Marijuana Paradise,Recreational Retailer,"Mana PDX, Inc",Recreational Retailer,9663 SW BARBUR BLVD PORTLAND OR  97219-6040,Multnomah,2024-07-09,,,0,0,, 
050-10051024930,Canna Beach Junction,Recreational Retailer,Canna Beach Junction LLC,Recreational Retailer,84834 HIGHWAY 101 SEASIDE OR  97138-3601,Clatsop,2024-09-10,,,0,0,, 
050-1005117D2A6,Attis Trading Company,Recreational Retailer,"Attis Trading Company - Barbur, LLC",Recreational Retailer,7737 SW BARBUR BLVD PORTLAND OR  97219-2821,Multnomah,2025-01-20,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10051193A0E,Attis Trading Company,Recreational Retailer,"Attis Trading Company - Cully, LLC",Recreational Retailer,4920 NE CULLY BLVD PORTLAND OR  97218-3130,Multnomah,2025-01-02,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1005120BE71,Attis Trading Company,Recreational Retailer,"Attis Trading Company - Gladstone, LLC",Recreational Retailer,2606 SE GLADSTONE ST # 101 PORTLAND OR  97202-2940,Multnomah,2025-01-02,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10051364EB2,Kaleafa Gresham,Recreational Retailer,1450 SE Orient LLC,Recreational Retailer,1450 SE ORIENT DR GRESHAM OR  97080-6219,Multnomah,2024-05-06,,,0,0,, 
050-100515855E1,Attis Trading Company,Recreational Retailer,"Attis Trading Company - Lincoln, LLC",Recreational Retailer,"3026 NE HIGHWAY 101 STE 1, LINCOLN CITY OR  97367-4906",Lincoln,2025-02-02,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1005162BFD5,Attis Trading Company,Recreational Retailer,"Attis Trading Company - Tillamook, LLC",Recreational Retailer,1830 GOODSPEED RD N TILLAMOOK OR  97141-7756,Tillamook,2025-01-22,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-100516333C2,Tokyo South,Recreational Retailer,Tokyo Starfish 2 Inc.,Recreational Retailer,61230 S HIGHWAY 97 BEND OR  97702-2959,Deschutes,2025-03-25,,,0,0,, 
050-100516768FC,American Cannabis Company,Recreational Retailer,Marigold Enterprises LLC,Recreational Retailer,2131 W MAIN ST MEDFORD OR  97501-2207,Jackson,2025-02-02,,,0,0,, 
